Name,Condition,Price,Purchase Option,Shipping Cost
Bandai Spirits Gundam Fix Figuration Metal Composite #1017 RX-78-2 Chogokin USA,Brand New,$254.99,Buy It Now,Free Shipping
Bandai Gundam Fix Figuration Metal Composite MS-06C Zaku II Type C,Brand New,$221.00,Buy It Now,+$11.55 shipping
Bandai Spirits Gundam Fix Figuration Metal Composite #1017 RX-78-2 Chogokin USA,Brand New,$279.99,Buy It Now,Free Shipping
Gundam Fix Figuration Metal Composite RX-78-02 GUNDAM (40th Anniversary Ver),Brand New,$270.00,Buy It Now,Free Shipping
Gundam Fix Figuration Metal Composite G.F.F.M.C Banshee Norn Action Figure,Brand New,$164.99,Buy It Now,+$9.20 shipping
Bandai Fix Figuration #1020 Metal Composite MS-06 C Zaku II Metal Build Chogokin,Brand New,$279.99,Buy It Now,Free Shipping
Bandai Gundam Fix Figuration METAL COMPOSITE GUNDAM THE ORIGIN RX-78-02,Pre-Owned,$185.00,Buy It Now,Free Shipping
GUNDAM FIX FIGURATION METAL COMPOSITE RX-78-2 Gundam THE ORIGIN,Pre-Owned,$200.00,or Best Offer,+$15.00 shipping
RX-0 Unicorn Gundam [Final Battle Ver.] (Gundam Fix Figuration Metal Composite),Brand New,$260.00,Buy It Now,+$12.30 shipping
Gundam Fix Figuration Metal Composite G.F.F.M.C Banshee Norn Action Figure,Brand New,$194.99,Buy It Now,Free Shipping
Bandai Gundam Fix Figuration Metal Composite MS-06C Zaku II Type C Figure New,Brand New,$225.00,Buy It Now,+$20.00 shipping
UNICORN GUNDAM [AWAKENING VER.] (GUNDAM FIX FIGURATION METAL COMPOSITE),Brand New,$229.99,Buy It Now,+$12.30 shipping
Gundam Fix Figuration Psycho Gundam MRX-009 Metal Composite Bandai NEW,Brand New,$230.00,Buy It Now,Free Shipping
Bandai 1/100  Gundam Fix Figuration Metal Composite #1020 MS-06C Zaku II Type C,Brand New,$300.00,Buy It Now,Free Shipping
02 UNICORN GUNDAM BANSHEE (GUNDAM FIX FIGURATION METAL COMPOSITE),Brand New,$229.99,Buy It Now,+$11.95 shipping
Bandai Gundam Fix Figuration Metal Composite MRX-009 PSYCHO GUNDAM #1002,Brand New,$250.00,Buy It Now,Free Shipping
GUNDAM FIX FIGURATION METAL COMPOSITE RX-78-02 GUNDAM (40th Anniversary Ver),Brand New,$249.99,Buy It Now,+$31.61 shipping
New Bandai Fix Figuration Metal Composite RX-0 Unicorn Gundam #1011 ,Brand New,$199.00,or Best Offer,+$23.00 shipping
Gundam Fix Figuration Metal Composite MS-06S Char's Zaku II Figure (US seller),Brand New,$349.00,or Best Offer,Free Shipping
Used Bandai Fix Figuration Metal Composite RX78-02 Origin Gundam #1009,Pre-Owned,$229.00,or Best Offer,+$23.00 shipping
Gundam Fix Figuration Metal Composite Char's Zaku II (IN STOCK USA),Brand New,$325.00,Buy It Now,Free Shipping
*USA BANDAI Gundam Fix Figuration Metal Composite Unicorn Banshee Norn build,Brand New,$229.00,Buy It Now,+$18.60 shipping
 Bandai FIX FIGURATION METAL COMPOSITE #1001 GUNDAM Ver.Ka WITH G-FIGHTER,Pre-Owned,$300.00,or Best Offer,Free Shipping
GUNDAM FIX FIGURATION METAL COMPOSITE # 1001 GUNDAM Ver.Ka WITH G-FIGHTER,Brand New,$338.39,Buy It Now,+$15.87 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE # 1002 Psycho Gundam,Brand New,$255.53,Buy It Now,+$14.56 shipping
Gundam Unicorn Banshee Norn Gundam Fix Figuration Metal Composite Figure NEW,Brand New,$249.95,Buy It Now,+$24.35 shipping
BANDAI GUNDAM FIX FIGURATION METAL COMPOSITE UNICORN GUNDAM DESTROY MODE USA,Brand New,$205.99,Buy It Now,Free Shipping
GUNDAM FIX FIGURATION METAL COMPOSITE RX-78-2 GUNDAM Ver.Ka (roll out color),Pre-Owned,$369.99,Buy It Now,+$13.00 shipping
Bandai Gundam Fix Figuration Metal Composite RX-78-02 40th Anniversary Figure,Pre-Owned,$400.00,or Best Offer,+$23.15 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE Wing Gundam Snow White Prelude Japan ver.,Brand New,$430.66,Buy It Now,+$56.17 shipping
Gundam Fix Figuration Metal Composite GFFMC 1018 MS-06S Char's Zaku II Figure,Brand New,$434.50,Buy It Now,Free Shipping
Bandai Gundam Fix Figuration Metal Composite Banshee Norm (IN STOCK USA),Brand New,$259.99,Buy It Now,Free Shipping
Bandai 1/100  Gundam Fix Figuration Metal Composite #1020 MS-06C Zaku II Type C,Brand New,$230.00,Buy It Now,+$40.00 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE Wing Gundam Zero EW version Premium Bandai,Brand New,$610.00,Buy It Now,+$20.00 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE RX-78-01 Gundam Local Type (Rollout color),Brand New,$272.13,Buy It Now,+$23.72 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE Wing Gundam Zero EW version Premium Bandai,Pre-Owned,$550.00,Buy It Now,+$20.00 shipping
WING GUNDAM FIX FIGURATION METAL COMPOSITE  Snow White PL Freeship Japan limited,Brand New,$459.00,or Best Offer,Free Shipping
Bandai Gundam Fix Figuration Metal Composite GFFMC 1020 MS-06C Zaku II Type-C,Brand New,$315.90,Buy It Now,Free Shipping
GUNDAM FIX FIGURATION METAL COMPOSITE RX-78-2 Gundam (THE ORIGIN) initial award,Brand New,$318.03,Buy It Now,+$14.56 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE Unicorn Gundam (awakening specification),Brand New,$263.61,Buy It Now,+$13.00 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE RX-78-02 (40th Anniversary) Painted Figure,Brand New,$289.00,Buy It Now,Free Shipping
GUNDAM FIX FIGURATION METAL COMPOSITE XXXG-OOWO Wing Gundam Zero (EW) Japan ver.,Brand New,$621.65,Buy It Now,+$43.69 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE RX-78-02 Gundam 40th Anniverary,Brand New,$361.50,Buy It Now,Free Shipping
Used Gundam Fix Figuration Metal Unicorn Awakening Composite #1012 RX-0 F/S,Pre-Owned,$179.11,Buy It Now,Free Shipping
Bandai Gundam Fix Figuration Metal Composite # 1009 RX78-02 The Origin Die cast ,Brand New,$219.99,Buy It Now,+$35.00 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE MS-06C Zaku II Type C Japan version,Brand New,$259.65,Buy It Now,+$34.95 shipping
Bandai Gundam Fix Figuration Metal Composite 1019 MRX-009 Psycho (Gloss Color) ,Brand New,$279.99,Buy It Now,Free Shipping
NEW GUNDAM FIX FIGURATION METAL COMPOSITE Mobile Suit Victory UC Unicorn Figure,Brand New,$396.00,Buy It Now,Free Shipping
Bandai Gundam Fix Figuration Metal Composite #1002 Psycho Gundam,Pre-Owned,$189.00,Buy It Now,+$10.00 shipping
Bandai Gundam Fix Figuration Metal Composite 1019 MRX-009 Psycho (Gloss Color),Brand New,$238.00,Buy It Now,+$35.00 shipping
Bandai Gundam Fix Figuration Metal Composite MS-06C Zaku II Type C Action Figure,Brand New,$333.50,Buy It Now,Free Shipping
Gundam Fix Figuration Metal Composite GFFMC 1017 RX-78-02 Gundam 40TH Ann. Ver.,Brand New,$269.99,Buy It Now,+$45.76 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE MS-06S Char Custom Zaku II Japan version,Brand New,$330.80,Buy It Now,+$43.69 shipping
New Bandai GUNDAM FIX FIGURATION METAL COMPOSITE LIMITED Zplus BLUE From Japan,Brand New,$401.99,Buy It Now,+$20.00 shipping
