,Name,Condition,Price,Purchase Option,Shipping Cost,url
0,Bandai Dynasty Warriors Musou SHIN MUSHA Gundam MG 1/100 153804 US Seller USA,Brand New,$53.94,Buy It Now,Free Shipping,<a href='https://www.ebay.com/itm/Bandai-Dynasty-Warriors-Musou-SHIN-MUSHA-Gundam-MG-1-100-153804-US-Seller-USA/133396741481?_trkparms=ispr%3D1&hash=item1f0f10bd69:g:l4UAAOSwqStepzJE&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKYEiouKGJFreG7Ca77cGCEWStyFCo8VaE1lwGKAHs%2FgQOKNmC0FPunDk53knUvfoYOOP3r5DHh8tKYnouKM5xDl4KzkURERiUxnkpQl5xcSi5L5SmiRTfh%2FDRbgOeFL%2FFKa0VNS3oybrVTJDDIORaIUkn7pmUet6ZoMv5Nl5spxaCugaqi8NrPBVM8lW4HM%2B2fBEDBVXDhk%2FgCGWfMGgi0y2gH0Vn%2BuLq0In8ti9SJfLz%2FFZf%2BDzCve%2BAjOtzXMidQTMay%2B3x4%2BuFVPAsFwKAIlUSn7LBt0PQVkZNgep4hDM1lP%2Fv1qqUYu9LroaPLS0SYotvB1IN9CvIn%2BYdkjMj7hNbVvGQFg1JpxdduMv9xujvh7ztBsHEo6n%2FL6SN%2BMWt5hhAUO6hXsy%2BhN3DFTb%2BbaBOxllo5ZqM8B%2B9tKjDSVia0tTG83LG9hyvg6zsVv%2BMjRDO4ZS4qvHbrnezHvtCGc89LGaRHqegH5uySU4cCf71luW75d5FoV90DAmhI1c9GlHgvJsVbZM01xPG2E%2B0rRb3Khr6KgaLhU2oNJvt5Y61VpJ8gLUXiUnsYmRagw4ssvkXwC4H%2BwO7GSc2KCrf6a2LF0c%2B%2FGeb%2FUISOqMVY78dj4%2FLuakB9%2BLturKBhKqB2bnOfrFn65uBGuWFTeM55YrOrXRUKNc6bHb2zz7w%2FnJAXKuII3D88yLSIJA6TuZ4UQ8hBvmHGKuaD%2FujNHXNlQu1Mk%2FRkzw%2FdM5LH%2F8Bx5v84D3wS1Lj3EG%2FV4KHi6co&checksum=133396741481f2c4876167004cb1a688201703049068'>link</a>
1,Bandai Hobby Gundam Iron-Blooded Orphans IBO Astaroth HG 1/144 Model Kit USA,Brand New,$19.95,Buy It Now,Free Shipping,<a href='https://www.ebay.com/itm/Bandai-Hobby-Gundam-Iron-Blooded-Orphans-IBO-Astaroth-HG-1-144-Model-Kit-USA/143590985873?epid=26035940643&_trkparms=ispr%3D1&hash=item216eb09091:g:R1QAAOSwCPhep0G~&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXK3Ho3%2BXGUZEkZ%2B9o2VFrTKgXcW2el49gUDcJkp3vlxqq9XpZnEViOuO%2Fk5MahpJNzDpZVnCtJvwq7JJP2QTrOFNck%2B%2B%2F%2BreY3f%2BopjlQ78Dnx%2FyxXyzem%2BvuapYPfle2a0sm7WJ8KWAQm1zfVGqAPiPomI1ArKuDpUZnHF2dgAVLt3JaQagxTGcl4eXDWXv8KjJNa4ftuI0ly5cS28YaVMz985%2F2au2pS20PfYzaDGrHJVznWY5kO%2BBemTR5kGVEPMR%2Fln8SZ%2BTgqQsvJe934%2Bb8EXxf3rT2%2BxZCuQh5SZ16lHDqmMKp8b3UkcVZ%2BCeZABGsSGSjblIpSto7yv5Lroxj5FFqld5ZVFanDm0BoehWRE%2B1jRxzGVN0DnYhqq9IF6u3JNIt66F7ljZL4zU7Wj%2B2rVv8rfX1sXvFo%2B%2BuBLgR4GqPrVkmzquKKbadWDxxBmMozeTfykfdzDRs%2Fe2ElTK1Rfm5SpLZgFa3dyNOsNFPS0gAoFx3QDZN8EVsQ4pbepts05i8nducWgU5yx%2BncB6VneSTYiNbY28OydA2we3W66bcqjL9p8vFOKhS57Qt3JTV3XsHP4nRx4JLvXfLjX%2BdoUBNmVoULNSWIMLTlCrrD2Xol8zUQvJ%2FRz49SWVIdDxS2zgGbcDvnfl19xr%2BBRIDd6N8M2NdUQ4Q0kj%2Fk2VCgkkeMGXAHfoXADs%2F29ZxVtwGQrutZnzNPivuhscvsyJNJfSB5jBFMUvZz%2Bo5LHsaMaESWYQzkxwsX3szEt9C8&checksum=143590985873f2c4876167004cb1a688201703049068'>link</a>
2,Bandai Gundam Heavy Arms Endless Waltz XXXG-01H EW MG 1/100 Model Kit USA Seller,Brand New,$54.95,Buy It Now,Free Shipping,<a href='https://www.ebay.com/itm/Bandai-Gundam-Heavy-Arms-Endless-Waltz-XXXG-01H-EW-MG-1-100-Model-Kit-USA-Seller/193188004522?_trkparms=ispr%3D1&hash=item2cfae702aa:g:j~8AAOSwnI9dvKDi&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKXGjEnS9q3Oyg0QpM3V237NP7kAQuyeTkgBFWz0Vy1%2FKwI5TtlNs9yGgt7V74vrmiug9Zj8pNRIeolm1UVFIBJSy87juvmRpJdXga%2BpZqbsCskYLhPtrXAuJulyV1%2B6eKBvq1PjLKpG4sB9PWkW6LCQe03DzmH9XIiYi6ymo4poGBJOBg0qmI7r0J7ULsPALcdwHfGpWArFnVDeZqkC4VRYe%2Fj1Y3NKmzX2M35rrahlvoigTGwud0IZXG2oS0AEkcwbZhyZ3Z9uzLUN3VW9uWP3fkQ5smzaA2syT%2FexHo5llp7nqrkajUW6QvxyDGY59HOFwGRgyduxjjTUwJCecbiPCRUfY5TxCLe4bhfzTgKKEGMNEuQ0NKSmv%2B%2BTgdxpTn0gelWxIkOCJRYIa1gB0p6ufuA%2BQaTEer18OkLZwylJfYr5RL1nm8g8HYwazz5nWWGXGrupvNTWVGQ8IgpU1y836lyADLC72hID2oDDS6XhBcxK%2BL2AXud4MeD%2Bu%2Bc2twpElQf9qI%2F1rNNGmuY6uMrppYLglUva6VoQjKUa%2FJ%2B1%2FVTWYMyfrlZkSAn%2Ba7rAVTcEvW3%2BVGH2KxXMatFeil%2FoSSpA6TXkdfOFWQ2DBeQTeOcB0cWZ6aptmJ1fLbTa49IK77WZ1KzIvr6byVq4e8BqpRoSI4yRtA9kzjqeuZwzXJO7E9x3P4AgqUBJgkyyZfPzAau%2BfJSTkpJ3r6p5laR7sxe5SWe2UpdgbltYR5UCDkHdJ4Itwd4OpJwgDKGYZW&checksum=193188004522f2c4876167004cb1a688201703049068'>link</a>
3,Bandai Gundam Barbatos Iron Blooded Orphans MG Model Kit 1/100 Scale IBO USA,Brand New,$69.95,Buy It Now,Free Shipping,<a href='https://www.ebay.com/itm/Bandai-Gundam-Barbatos-Iron-Blooded-Orphans-MG-Model-Kit-1-100-Scale-IBO-USA/193305775242?epid=9037642074&_trkparms=ispr%3D1&hash=item2d01ec0c8a:g:ZDsAAOSwHSxeI0du&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKXGjEnS9q3Oyg0QpM3V237NlZm%2FRl90Yd0bqFskc95wY0%2B%2BpGWhLQY8%2FV742t5EiiY6deg3vPeE7aGquwvpYz%2BVA2GbQwK2NdSr7oDlbBZLuYKAzDc5Ks0AjHoVH2wq7FbiW6Ys50Bkncig4KOGq%2BcHyjMcXQNyJFwtttRiBolDODwpf7EUYSMUaxIWuVSt%2Bccx7CLLdf9OHfZuaCNjwn54XWMp10L4%2FaSnNc7ilQQi99masMuoyVuFdi0XVMwOeXwc8ZYg%2BzThKzwoRTcgtBp0%2Br1FuxSpKkDJmNXKPY3R1nyUT5qr6yLUvi%2FV6%2BU43T3T6GotgYdt%2ByaN71fz3FAnRq4x%2Fgd3tKUNP2xprDDDTqsFM7Iq7SUHPWx9l6Xarbf55rICgnw1bPSDlsm5gGy18ceGNSXjWkls2vNoQBm9%2FhHpeu1DEbWnXlJ3%2FD1wF1Cu6zxpGKYpPvXCARoOpgWxde%2FUVhQD1tRq0ZIqOiIg6Oefzf%2FErdSAhccBXaoyKXuS2dXCTVZ7R7e%2BlevZe4MSsoE4I30FTD1kTH%2Bzgnfq9rsR37n5Snp%2BM9LHbkX353SAAympAGpIEH5j1xuOpXnLP8X%2FTKTqXVQIKwFobtEPvI8ShNgubzT%2BPfPCX2ldD62EWOTlAzvEn9sGzrEY9kQehmbEPCEXZKsEikLb3w54xzi%2B%2B5PieL8QlHiKXdoQiiU8y2c9PS1ke2sBu%2BCFS72MhFnzwO1LWcX3ofuxacdudxc4MhjvfbpH5DJaOaDxfQ&checksum=193305775242f2c4876167004cb1a688201703049068'>link</a>
4,Bandai The Origin Gundam Local Type North American Front HG 1/144 Model Kit USA,Brand New,$25.46,Buy It Now,Free Shipping,<a href='https://www.ebay.com/itm/Bandai-The-Origin-Gundam-Local-Type-North-American-Front-HG-1-144-Model-Kit-USA/143609704194?epid=21036070319&_trkparms=ispr%3D1&hash=item216fce2f02:g:JZ8AAOSwWkdeTYOA&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXK3Ho3%2BXGUZEkZ%2B9o2VFrTKl9fcD5ku1b9vmeMdPlpB7kJbyjb0QnNsElbaugPAB0LXPNlr6OgbbJpOJxznRZC0vkVQ%2FdWu49gSilmXj9IdlXbBETEKjEN9OPRTRo18MjunIB%2BAFi%2BTYjzK6Mj9UxehL0VUUuGFcxgFji1%2B42s2m5LD8tE%2BkSz%2FmjkxBGNqvuKSpj6zGU65W%2BOwdizgOxWy4NIBbOFRtU9N6PxQv1t6Z5UZ4HgyZ%2F6o0gr5BM9CCTvYpvt%2BoXubz3qFw99e4tVokp%2BbOOtl6pP3p1rjKuAKkXH7fhmHShCt%2BVCYwa%2FYtukh7rsFFzW7MPa%2Fo0edD02%2F6r%2Br%2Byvg%2Frrklzg4jMJm%2Fav1sMqWOx7FpJ9fmEpnf8BJFOivmSafUByWn2EhhCktajb3MPwcypheyy1cUJVhFmp8d3DacFlbUvcSSutuGWDWSIlsdsp7gdr0ikg%2BuPRryU56sofFbuQfKhB2ZYN8DpEQSQZi8k9nRRrt%2FmXwEGeDWvX4IXv39kqSuxnV2SV7juMU0qAQZnbd1VHT7Ok2ZVE%2Bw71RXGrSMy0wSL%2F2aBCbji0uuaqYrAAGyYKeIR09hQnoC1AqZRV8IVMGP%2BwYT9Bpp3bG5FxkYoNsZhdv3m0PvCagArLDaF3Ajt67P2RMEKM%2BT6qXU28pkyvOLMox9ZaW%2BHvuDWXN40RqZvSX9aBYtxA3PoZJ%2FqtHmpaO4Dbix64LWbM8MoiXH5sKbPAYKNZgfzcuxCk9JuJLhAZ4lAh&checksum=143609704194f2c4876167004cb1a688201703049068'>link</a>
5,Gundam 00 XN raiser 1/144,Pre-Owned,$17.00,0 bids,+$10.00 shipping,<a href='https://www.ebay.com/itm/Gundam-00-XN-raiser-1-144/153948874433?hash=item23d81166c1:g:QmMAAOSwrclezgSF'>link</a>
6,NEW BANDAI Mobile Suit LAUNCHER STRIKE GUNDAM Seed 4.5” Action Figure 2005 MSIA,Brand New,$1.29,3 bids,+$7.50 shipping,<a href='https://www.ebay.com/itm/NEW-BANDAI-Mobile-Suit-LAUNCHER-STRIKE-GUNDAM-Seed-4-5-Action-Figure-2005-MSIA/184313868919?hash=item2ae9f67277:g:XoAAAOSweFhe1UDW'>link</a>
7,BANDAI HG Iron-Blooded Orphans IBO 1/144 Gundam Astaroth 207591 US Seller USA,Brand New,$13.90,Buy It Now,Free Shipping,<a href='https://www.ebay.com/itm/BANDAI-HG-Iron-Blooded-Orphans-IBO-1-144-Gundam-Astaroth-207591-US-Seller-USA/133204076364?epid=1662518960&hash=item1f0394e74c:g:31kAAOSwpJRdpgRQ'>link</a>
8,Bandai Hobby - Gundam 1/144 HGUC RX-78-2 Gundam - New - Free Shipping,Brand New,$19.99,Buy It Now,Free Shipping,<a href='https://www.ebay.com/itm/Bandai-Hobby-Gundam-1-144-HGUC-RX-78-2-Gundam-New-Free-Shipping/333596691256?hash=item4dabe98b38:g:vq8AAOSwkcVepu5e'>link</a>
9,Bandai Iron-Blooded Orphans IBO Gundam Barbatos HG 1/144 Model Kit USA Seller,Brand New,$16.61,Buy It Now,Free Shipping,<a href='https://www.ebay.com/itm/Bandai-Iron-Blooded-Orphans-IBO-Gundam-Barbatos-HG-1-144-Model-Kit-USA-Seller/143598636237?epid=19032635054&hash=item216f254ccd:g:LzIAAOSwfZpetFVA'>link</a>
