Rank,Name,Global Score,Country,"City, State",Link
1,Harvard University,100.0,United States,"Cambridge, MA",https://www.usnews.com/education/best-global-universities/harvard-university-166027
2,Massachusetts Institute of Technology,98.4,United States,"Cambridge, MA",https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-166683
3,Stanford University,94.9,United States,"Stanford, CA",https://www.usnews.com/education/best-global-universities/stanford-university-243744
4,University of California--Berkeley,90.3,United States,"Berkeley, CA",https://www.usnews.com/education/best-global-universities/university-of-california-berkeley-110635
5,University of Oxford,87.2,United Kingdom,Oxford,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
6,California Institute of Technology,87.1,United States,"Pasadena, CA",https://www.usnews.com/education/best-global-universities/california-institute-of-technology-110404
7,Columbia University,86.5,United States,"New York, NY",https://www.usnews.com/education/best-global-universities/columbia-university-190150
8,Princeton University,85.6,United States,"Princeton, NJ",https://www.usnews.com/education/best-global-universities/princeton-university-186131
9,University of Cambridge,85.5,United Kingdom,Cambridge,https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149
10,University of Washington,85.3,United States,"Seattle, WA",https://www.usnews.com/education/best-global-universities/university-of-washington-236948
