Rank,Name,Address,Tuition,Enrollment,Link
1,Princeton University,"Princeton, NJ","$51,870","5,428",/best-colleges/princeton-university-2627
2,Harvard University,"Cambridge, MA","$51,925","6,788",/best-colleges/harvard-university-2155
3,Columbia University,"New York, NY","$61,850","6,202",/best-colleges/columbia-university-2707
3,Massachusetts Institute of Technology,"Cambridge, MA","$53,790","4,602",/best-colleges/massachusetts-institute-of-technology-2178
3,Yale University,"New Haven, CT","$55,500","5,964",/best-colleges/yale-university-1426
6,Stanford University,"Stanford, CA","$53,529","7,087",/best-colleges/stanford-university-1305
6,University of Chicago,"Chicago, IL","$59,298","6,552",/best-colleges/university-of-chicago-1774
6,University of Pennsylvania,"Philadelphia, PA","$57,770","10,183",/best-colleges/university-of-pennsylvania-3378
9,Northwestern University,"Evanston, IL","$56,691","8,231",/best-colleges/northwestern-university-1739
10,Duke University,"Durham, NC","$58,198","6,682",/best-colleges/duke-university-2920
