Symbol,Date,Time,Bid Price,Bid Exchange,Bid Size,Ask Price,Ask Exchange,Ask Size
ITT,03/03/2014,09:30:00.033,43.16,Z,1,43.69,P,3
ITT,03/03/2014,09:30:00.038,43.17,P,3,43.69,P,3
ITT,03/03/2014,09:30:00.039,43.17,P,4,43.69,P,3
ITT,03/03/2014,09:30:00.151,43.3,P,6,43.69,P,3
ITT,03/03/2014,09:30:00.151,43.3,P,6,43.42,P,4
ITT,03/03/2014,09:30:00.174,43.31,P,3,43.42,P,4
ITT,03/03/2014,09:30:01.384,43.31,P,3,43.66,P,4
ITT,03/03/2014,09:30:01.384,43.31,P,3,43.66,P,3
ITT,03/03/2014,09:30:02.032,43.31,P,3,43.65,P,3
ITT,03/03/2014,09:30:02.381,43.35,N,1,43.4,N,17
ITT,03/03/2014,09:30:02.421,43.35,N,1,43.4,N,18
ITT,03/03/2014,09:30:02.466,43.35,N,1,43.39,N,1
ITT,03/03/2014,09:30:02.475,43.32,N,1,43.39,N,1
ITT,03/03/2014,09:30:02.621,43.32,N,1,43.39,N,2
ITT,03/03/2014,09:30:02.971,43.32,N,1,43.39,N,3
ITT,03/03/2014,09:30:04.899,43.32,N,1,43.39,N,2
ITT,03/03/2014,09:30:07.532,43.32,N,1,43.38,N,1
ITT,03/03/2014,09:30:07.580,43.32,N,1,43.38,N,2
ITT,03/03/2014,09:30:08.038,43.32,N,1,43.38,N,1
ITT,03/03/2014,09:30:08.044,43.32,N,1,43.39,T,4
ITT,03/03/2014,09:30:08.567,43.32,N,1,43.39,T,3
ITT,03/03/2014,09:30:08.578,43.32,N,1,43.38,N,1
ITT,03/03/2014,09:30:08.597,43.3,K,1,43.38,N,1
ITT,03/03/2014,09:30:08.623,43.3,K,1,43.39,T,3
ITT,03/03/2014,09:30:08.646,43.31,N,1,43.39,T,3
ITT,03/03/2014,09:30:09.073,43.3,K,1,43.39,T,3
ITT,03/03/2014,09:30:09.541,43.3,N,1,43.39,T,3
ITT,03/03/2014,09:30:09.554,43.27,T,2,43.39,T,3
ITT,03/03/2014,09:30:09.681,43.27,T,2,43.38,N,1
ITT,03/03/2014,09:30:09.704,43.27,T,2,43.39,T,3
ITT,03/03/2014,09:30:10.043,43.28,N,1,43.39,T,3
ITT,03/03/2014,09:30:10.172,43.28,N,1,43.38,N,1
ITT,03/03/2014,09:30:10.197,43.28,N,1,43.38,N,2
ITT,03/03/2014,09:30:10.482,43.28,N,2,43.38,N,2
ITT,03/03/2014,09:30:10.492,43.28,N,2,43.37,N,1
ITT,03/03/2014,09:30:10.515,43.28,N,2,43.38,N,2
ITT,03/03/2014,09:30:10.538,43.28,N,2,43.38,N,1
ITT,03/03/2014,09:30:10.538,43.28,N,2,43.37,N,1
ITT,03/03/2014,09:30:10.559,43.28,N,2,43.38,N,1
ITT,03/03/2014,09:30:10.560,43.28,N,2,43.38,N,2
ITT,03/03/2014,09:30:10.582,43.28,N,2,43.37,N,1
ITT,03/03/2014,09:30:10.604,43.28,N,2,43.38,N,2
ITT,03/03/2014,09:30:10.649,43.28,N,2,43.38,N,1
ITT,03/03/2014,09:30:10.656,43.28,N,2,43.38,B,2
ITT,03/03/2014,09:30:10.657,43.28,N,2,43.38,B,1
ITT,03/03/2014,09:30:10.658,43.28,N,2,43.39,T,3
ITT,03/03/2014,09:30:10.715,43.28,N,2,43.38,N,1
ITT,03/03/2014,09:30:10.740,43.28,N,2,43.37,N,1
ITT,03/03/2014,09:30:10.763,43.28,N,2,43.38,N,1
ITT,03/03/2014,09:30:10.763,43.28,N,2,43.38,N,2
ITT,03/03/2014,09:30:10.850,43.28,N,2,43.38,N,1
ITT,03/03/2014,09:30:10.872,43.28,N,2,43.37,N,1
ITT,03/03/2014,09:30:10.895,43.28,N,2,43.38,N,1
ITT,03/03/2014,09:30:11.021,43.28,N,2,43.38,N,2
ITT,03/03/2014,09:30:12.094,43.28,N,2,43.38,N,3
ITT,03/03/2014,09:30:12.102,43.28,N,2,43.37,N,1
ITT,03/03/2014,09:30:12.124,43.28,N,2,43.38,N,3
ITT,03/03/2014,09:30:12.273,43.28,N,2,43.37,N,1
ITT,03/03/2014,09:30:12.296,43.28,N,2,43.38,N,3
ITT,03/03/2014,09:30:12.443,43.28,N,2,43.37,N,1
ITT,03/03/2014,09:30:12.466,43.28,N,2,43.38,N,3
ITT,03/03/2014,09:30:12.469,43.28,N,2,43.38,N,4
ITT,03/03/2014,09:30:12.611,43.28,N,2,43.37,N,1
ITT,03/03/2014,09:30:12.892,43.28,N,2,43.37,N,2
ITT,03/03/2014,09:30:15.536,43.28,N,2,43.36,T,1
ITT,03/03/2014,09:30:15.629,43.28,N,2,43.36,C,1
ITT,03/03/2014,09:30:15.629,43.28,N,2,43.36,Y,1
ITT,03/03/2014,09:30:19.514,43.28,N,2,43.36,Y,2
ITT,03/03/2014,09:30:20.560,43.28,N,2,43.36,Y,3
ITT,03/03/2014,09:30:20.570,43.28,N,2,43.35,N,1
ITT,03/03/2014,09:30:20.592,43.28,N,2,43.36,N,1
ITT,03/03/2014,09:30:21.828,43.28,N,2,43.36,N,2
ITT,03/03/2014,09:30:21.841,43.28,N,2,43.36,N,3
ITT,03/03/2014,09:30:22.028,43.28,N,2,43.36,N,4
ITT,03/03/2014,09:30:28.338,43.28,N,2,43.35,N,1
ITT,03/03/2014,09:30:28.384,43.28,N,2,43.35,N,2
ITT,03/03/2014,09:30:28.672,43.28,N,2,43.35,N,3
ITT,03/03/2014,09:30:28.675,43.28,N,1,43.35,N,3
ITT,03/03/2014,09:30:28.693,43.28,N,1,43.34,N,1
ITT,03/03/2014,09:30:28.720,43.25,K,1,43.34,N,1
ITT,03/03/2014,09:30:28.720,43.25,K,1,43.33,N,1
ITT,03/03/2014,09:30:28.732,43.25,K,1,43.32,N,1
ITT,03/03/2014,09:30:34.697,43.23,T,1,43.32,N,1
ITT,03/03/2014,09:30:34.697,43.23,T,1,43.31,N,1
ITT,03/03/2014,09:30:34.698,43.28,B,1,43.31,N,1
ITT,03/03/2014,09:30:34.699,43.28,B,1,43.32,T,2
ITT,03/03/2014,09:30:47.021,43.23,T,1,43.32,T,2
ITT,03/03/2014,09:30:47.147,43.23,T,1,43.31,N,1
ITT,03/03/2014,09:30:47.169,43.23,T,1,43.32,T,2
ITT,03/03/2014,09:30:47.213,43.23,T,1,43.31,N,1
ITT,03/03/2014,09:30:47.220,43.23,T,1,43.3,N,1
ITT,03/03/2014,09:30:47.676,43.23,T,2,43.3,N,1
ITT,03/03/2014,09:30:49.244,43.23,T,1,43.3,N,1
ITT,03/03/2014,09:30:52.898,43.23,T,1,43.3,T,2
ITT,03/03/2014,09:31:00.796,43.25,P,1,43.3,T,2
ITT,03/03/2014,09:31:00.797,43.25,P,2,43.3,T,2
ITT,03/03/2014,09:31:00.832,43.26,N,1,43.3,T,2
ITT,03/03/2014,09:31:00.854,43.25,T,3,43.3,T,2
ITT,03/03/2014,09:31:01.387,43.25,T,3,43.29,K,1
ITT,03/03/2014,09:31:01.387,43.25,T,3,43.29,K,2
ITT,03/03/2014,09:31:01.387,43.25,T,3,43.29,K,3
ITT,03/03/2014,09:31:01.827,43.25,T,2,43.29,K,3
ITT,03/03/2014,09:31:01.927,43.25,T,1,43.29,K,3
ITT,03/03/2014,09:31:02.175,43.25,T,1,43.29,K,2
ITT,03/03/2014,09:31:02.177,43.25,T,1,43.29,K,1
ITT,03/03/2014,09:31:06.474,43.25,T,1,43.29,K,2
ITT,03/03/2014,09:31:21.907,43.25,N,1,43.29,K,2
ITT,03/03/2014,09:31:21.907,43.2,T,2,43.29,K,2
ITT,03/03/2014,09:31:21.908,43.23,C,1,43.29,K,2
ITT,03/03/2014,09:31:34.143,43.2,K,1,43.29,K,2
ITT,03/03/2014,09:31:34.179,43.2,K,1,43.28,N,1
ITT,03/03/2014,09:31:34.220,43.2,K,1,43.29,K,1
ITT,03/03/2014,09:31:34.238,43.21,N,1,43.29,K,1
ITT,03/03/2014,09:31:34.431,43.2,K,1,43.29,K,1
ITT,03/03/2014,09:31:35.232,43.2,K,1,43.29,K,2
ITT,03/03/2014,09:31:37.671,43.2,K,1,43.28,T,1
ITT,03/03/2014,09:31:37.671,43.2,K,1,43.28,T,2
ITT,03/03/2014,09:31:37.765,43.2,K,1,43.28,T,1
ITT,03/03/2014,09:31:38.425,43.2,K,1,43.28,C,1
