Symbol,Date,Time,Open Time,Open Bid Price,Open Bid Size,Open Ask Price,Open Ask Size,High Bid Time,High Bid Price,High Bid Size,Ask Price at High Bid,Ask Size at High Bid,Low Ask Time,Bid Price at Low Ask,Bid Size at Low Ask,Low Ask Price,Low Ask Size,Close Time,Close Bid Price,Close Bid Size,Close Ask Price,Close Ask Size,Max. Spread,Min. Spread,NBBO Count
GLP,03/03/2014,09:31,09:30:00.090,37.67,1,39.22,7,09:30:01.363,38.26,12,39.18,1,09:30:01.422,38.26,12,38.5,10,09:30:51.576,38.26,1,38.5,10,1.55,0.24,6
GLP,03/03/2014,09:32,09:31:03.934,38.26,1,38.49,1,09:31:47.153,38.27,1,38.49,1,09:31:03.934,38.26,1,38.49,1,09:31:47.153,38.27,1,38.49,1,0.23,0.22,4
GLP,03/03/2014,09:33,09:32:01.357,38.27,1,38.48,1,09:32:01.357,38.27,1,38.48,1,09:32:01.357,38.27,1,38.48,1,09:32:58.229,38.27,1,38.48,1,0.22,0.21,5
GLP,03/03/2014,09:34,09:33:02.489,38.27,1,38.47,1,09:33:31.198,38.28,1,38.46,1,09:33:02.530,38.27,1,38.46,1,09:33:33.343,38.28,1,38.46,2,0.20,0.18,5
GLP,03/03/2014,09:35,09:34:07.463,38.28,1,38.45,1,09:34:27.348,38.29,1,38.44,1,09:34:13.235,38.28,1,38.44,1,09:34:52.163,38.29,1,38.44,1,0.17,0.15,6
GLP,03/03/2014,09:36,09:35:04.543,38.29,1,38.5,11,09:35:04.543,38.29,1,38.5,11,09:35:04.543,38.29,1,38.5,11,09:35:09.275,38.29,1,38.5,12,0.21,0.21,2
GLP,03/03/2014,09:37,09:36:05.014,38.29,1,38.49,1,09:36:05.014,38.29,1,38.49,1,09:36:58.917,38.29,1,38.46,1,09:36:58.917,38.29,1,38.46,1,0.20,0.17,4
GLP,03/03/2014,09:38,09:37:18.056,38.29,1,38.46,1,09:37:40.938,38.3,1,38.46,2,09:37:58.134,38.3,1,38.44,1,09:37:58.134,38.3,1,38.44,1,0.20,0.14,8
GLP,03/03/2014,09:39,09:38:18.209,38.31,1,38.44,1,09:38:18.209,38.31,1,38.44,1,09:38:18.209,38.31,1,38.44,1,09:38:57.772,38.31,1,38.5,12,0.19,0.13,5
GLP,03/03/2014,09:40,09:39:45.892,38.31,2,38.5,12,09:39:45.892,38.31,2,38.5,12,09:39:56.789,38.31,2,38.48,1,09:39:56.789,38.31,2,38.48,1,0.19,0.17,3
GLP,03/03/2014,09:41,09:40:47.282,38.31,1,38.48,1,09:40:56.359,38.32,1,38.48,1,09:40:47.282,38.31,1,38.48,1,09:40:56.359,38.32,1,38.48,1,0.17,0.16,2
GLP,03/03/2014,09:42,09:41:01.814,38.32,1,38.47,1,09:41:50.686,38.34,1,38.46,1,09:41:06.115,38.32,1,38.46,1,09:41:50.686,38.34,1,38.46,1,0.26,0.12,9
GLP,03/03/2014,09:43,09:42:01.773,38.34,1,38.5,11,09:42:01.773,38.34,1,38.5,11,09:42:01.773,38.34,1,38.5,11,09:42:06.259,38.21,1,38.5,12,0.30,0.16,5
