Name,Symbol,Price,Close,52wk High Price,52wk Low Price,Mkt Cap,Float Cap,PE,PB,EPS,V/Avg V,V/10 Avg V,P/H,P/L,Target Mean,Target High,Target Low,__,__,____m,____h,__
Alphabet Inc.,GOOG,1096.8,1096.8,1532.106,1025,753225302016.00,677793102278.40,22.31,3.75,49.163,1.9,1.1,0.7,1.1,1629,1712,1575,7%,28%,49%,56%,44%
"Amazon.com, Inc.",AMZN,1830,1830,2185.95,1626.03,910992277504.00,772267082100.00,79.53,14.68,23.01,2,1.1,0.8,1.1," 2,400.96 "," 2,700.00 "," 1,850.00 ",13%,16%,31%,48%,1%
Apple Inc.,AAPL,246.67,246.67,327.85,170.27,1079299604480.00,1078090835891.53,19.58,12.08,12.595,1.7,0.9,0.8,1.4, 331.20 , 400.00 , 207.77 ,45%,25%,34%,62%,-16%
Walt Disney Company (The),DIS,88.8,88.8,153.41,79.07,160323076096.00,160101705854.40,14.94,1.76,5.942,3,1.4,0.6,1.1, 157.71 , 180.00 , 119.00 ,12%,42%,78%,103%,34%
Archer-Daniels-Midland Company,ADM,33.02,33.02,47.2,31.01,18421428224.00,18326758815.04,13.53,0.96,2.44,1.1,0.6,0.7,1.1, 49.13 , 53.00 , 42.00 ,6%,30%,49%,61%,27%
Bunge Limited Bunge Limited,BG,30.25,30.25,59.65,29.64,4291083520.00,4254062824.00,-1,0.82,-9.343,2,1.1,0.5,1, 64.80 , 74.00 , 53.00 ,2%,49%,114%,145%,75%
"Caterpillar, Inc.",CAT,100.12,100.12,150.55,87.5,55074312192.00,54961368692.92,9.32,3.78,10.74,1.7,0.8,0.7,1.1, 143.76 , 178.00 , 100.00 ,14%,33%,44%,78%,0%
Bank of America Corporation,BAC,20.79,20.79,35.72,19.58,181387968512.00,180941707935.45,7.56,0.76,2.75,2.3,1.1,0.6,1.1, 35.67 , 45.00 , 28.00 ,6%,42%,72%,116%,35%
American Express Company,AXP,73.75,73.75,138.13,67,59593023488.00,48260794261.25,9.23,2.59,7.99,2.9,1.2,0.5,1.1, 135.91 , 159.00 , 108.00 ,10%,47%,84%,116%,46%
Boeing Company (The),BA,101.89,101.89,398.66,89,57488986112.00,54182388363.63,-1,-1,-1.124,6.3,2.3,0.3,1.1,,,,14%,74%,-100%,-100%,-100%
"Delta Air Lines, Inc.",DAL,23.49,23.49,63.44,19.11,15035808768.00,14916405500.73,3.22,0.98,7.3,5.6,2.1,0.4,1.2, 66.63 , 90.00 , 50.00 ,23%,63%,184%,283%,113%
"Alaska Air Group, Inc.",ALK,25.13,25.13,72.22,20.02,3084983808.00,3076448726.54,4.06,0.71,6.19,2.8,1.3,0.3,1.3, 70.00 , 95.00 , 51.00 ,26%,65%,179%,278%,103%
JetBlue Airways Corporation,JBLU,7.66,7.66,21.65,7.02,2111111168.00,2154165184.94,4.01,0.45,1.91,2.4,1,0.4,1.1, 23.13 , 31.00 , 17.00 ,9%,65%,202%,305%,122%
"Tesla, Inc.",TSLA,361.22,361.22,968.99,176.99,66604990464.00,51936976302.74,-1,9.88,-4.92,1.2,1.2,0.4,2, 503.67 ," 1,060.00 ", 61.57 ,104%,63%,39%,193%,-83%
