Name,Symbol,Mkt Cap,Price,Previous Close,52wk High Price,52wk Low Price,P/E,P/B,EPS,Vol/30 Avg Vol,Vol/10 Avg Vol,P/H,P/L
"Alphabet, Inc.",GOOG,766214005623,1114.84,1096.8,1532.11,1025.0,22.47,1.86,49.61,1.51,1.05,0.73,1.09
"Amazon.com, Inc.",AMZN,935628916900,1879.49,1830.0,2185.95,1626.03,80.06,14.68,23.48,1.71,1.29,0.86,1.16
"Apple, Inc.",AAPL,1071161258800,244.81,246.67,327.85,170.27,19.19,11.93,12.75,1.23,0.91,0.75,1.44
The Walt Disney Co.,DIS,171390419200,94.93,88.8,153.41,79.07,15.09,1.8,6.29,1.49,1.0,0.62,1.2
Archer-Daniels-Midland Co.,ADM,18666899020,33.46,33.02,47.2,31.01,13.62,0.96,2.46,0.86,0.63,0.71,1.08
Bunge Ltd.,BG,4644299960,32.74,30.25,59.65,29.64,-3.51,0.73,-9.34,1.39,1.11,0.55,1.1
"Caterpillar, Inc.",CAT,56664049830,103.01,100.12,150.55,87.5,9.52,3.78,10.82,1.25,0.86,0.68,1.18
Bank of America Corp.,BAC,185044836000,21.2,20.79,35.72,19.58,7.66,0.69,2.77,1.37,0.94,0.59,1.08
American Express Co.,AXP,62275719870,77.07,73.75,138.13,67.0,9.63,2.58,8.01,1.72,1.03,0.56,1.15
The Boeing Co.,BA,55130522460,97.71,101.89,398.66,89.0,-85.03,-6.67,-1.15,2.91,1.44,0.25,1.1
"Delta Air Lines, Inc.",DAL,13768421940,21.51,23.49,63.44,19.1,2.93,0.98,7.35,2.44,1.35,0.34,1.13
"Alaska Air Group, Inc.",ALK,2972036340,24.18,25.13,72.22,20.02,3.88,0.71,6.24,1.16,0.71,0.33,1.21
JetBlue Airways Corp.,JBLU,2148968230,7.62,7.66,21.65,7.01,3.94,0.45,1.93,1.14,0.66,0.35,1.09
"Tesla, Inc.",TSLA,76522356945,415.0,361.22,968.99,176.99,-83.2,10.06,-4.99,1.46,1.64,0.43,2.34
