Name,Symbol,Mkt Cap,Price,Previous Close,52wk High Price,52wk Low Price,P/E,P/B,EPS,Current Ratio,Debt Ratio,ROE,Vol/30 Avg Vol,Vol/10 Avg Vol,P/H,P/L
"Alphabet, Inc.",GOOG,726200210453,1056.62,1072.32,1532.11,1025.0,21.3,1.82,49.61,3.37,3.71,0.17,1.63,1.12,0.69,1.03
"Amazon.com, Inc.",AMZN,947247802300,1902.83,1846.09,2185.95,1626.03,81.05,14.81,23.48,1.1,1.38,0.19,1.21,0.86,0.87,1.17
"Apple, Inc.",AAPL,981726447600,224.37,229.24,327.85,170.27,17.59,11.08,12.75,1.54,1.36,0.61,1.43,1.04,0.68,1.32
"Facebook, Inc.",FB,422152373504,148.1,149.73,224.2,137.1,22.87,3.56,6.48,4.4,4.13,0.18,1.25,0.89,0.66,1.08
The Walt Disney Co.,DIS,154834534400,85.76,85.98,153.41,79.07,13.63,1.75,6.29,0.75,2.13,0.12,1.49,0.99,0.56,1.08
Archer-Daniels-Midland Co.,ADM,16351667970,29.31,30.61,47.2,29.31,11.93,0.89,2.46,1.55,1.78,0.07,1.2,0.87,0.62,1.0
Bunge Ltd.,BG,4644299960,32.74,31.78,59.65,29.0,-3.51,0.76,-9.34,1.55,1.54,-0.22,1.24,0.96,0.55,1.13
"Caterpillar, Inc.",CAT,50525123550,91.85,95.5,150.55,87.5,8.49,3.6,10.82,1.47,1.23,0.42,1.19,0.83,0.61,1.05
Bank of America Corp.,BAC,157811822400,18.08,19.67,35.72,18.08,6.53,0.65,2.77,0.4,1.12,0.1,1.91,1.35,0.51,1.0
American Express Co.,AXP,55722507360,68.96,74.12,138.13,67.0,8.61,2.6,8.01,1.0,1.13,0.29,1.15,0.74,0.5,1.03
The Boeing Co.,BA,59593550120,105.62,95.01,398.66,89.0,-91.92,-6.22,-1.15,1.05,0.94,0.07,2.9,1.39,0.26,1.19
"Delta Air Lines, Inc.",DAL,14222888680,22.22,21.35,63.44,19.1,3.02,0.89,7.35,0.41,1.31,0.31,2.09,1.16,0.35,1.16
JetBlue Airways Corp.,JBLU,1935905720,6.86,7.15,21.65,6.7,3.55,0.42,1.93,0.67,1.67,0.12,1.7,1.06,0.32,1.02
"Alaska Air Group, Inc.",ALK,2953599390,24.03,23.56,72.22,20.02,3.85,0.67,6.24,0.64,1.45,0.18,1.4,0.95,0.33,1.2
"Tesla, Inc.",TSLA,80078298810,434.29,427.53,968.99,176.99,-87.07,11.91,-4.99,1.13,1.31,-0.13,0.85,0.76,0.45,2.45
The Coca-Cola Co.,KO,161260104000,37.56,38.3,60.13,37.51,18.0,8.66,2.09,0.76,1.32,0.47,2.09,1.35,0.62,1.0
