Name,Symbol,Mkt Cap,Price,Previous Close,52wk High Price,52wk Low Price,P/E,P/B,EPS,Current Ratio,Debt Ratio,ROE,ROA,Vol/30 Avg Vol,Vol/10 Avg Vol,P/H,P/L,P/M,H/P,L/P,M/P
"Alphabet, Inc.",GOOG,763375514142,1110.71,1161.75,1532.11,1013.54,22.39,1.88,49.61,3.37,3.71,0.17,0.12,1.12,0.86,0.72,1.1,4.28,1.38,0.91,0.23
"Amazon.com, Inc.",AMZN,945888781000,1900.1,1955.49,2185.95,1626.03,80.93,15.24,23.48,1.1,1.38,0.19,0.05,0.79,0.65,0.87,1.17,6.79,1.15,0.86,0.15
"Apple, Inc.",AAPL,1083981415200,247.74,258.44,327.85,170.27,19.42,11.98,12.75,1.54,1.36,0.61,0.16,0.78,0.68,0.76,1.45,3.14,1.32,0.69,0.32
"Facebook, Inc.",FB,446922826750,156.79,163.34,224.2,137.1,24.21,3.73,6.48,4.4,4.13,0.18,0.14,0.95,0.75,0.7,1.14,3.6,1.43,0.87,0.28
The Walt Disney Co.,DIS,174044416000,96.4,105.36,153.41,79.07,15.32,1.96,6.29,0.75,2.13,0.12,0.06,1.22,0.96,0.63,1.22,2.59,1.59,0.82,0.39
Archer-Daniels-Midland Co.,ADM,18666468000,33.5,34.46,47.2,28.92,13.63,0.97,2.46,1.55,1.78,0.07,0.03,0.74,0.74,0.71,1.16,3.67,1.41,0.86,0.27
Bunge Ltd.,BG,5133696260,36.19,37.64,59.65,29.0,-3.88,0.87,-9.34,1.55,1.54,-0.22,-0.07,1.0,0.83,0.61,1.25,2.36,1.65,0.8,0.42
"Caterpillar, Inc.",CAT,58000751520,105.44,110.5,150.55,87.5,9.74,3.98,10.82,1.47,1.23,0.42,0.08,0.92,0.81,0.7,1.21,3.34,1.43,0.83,0.3
"Visa, Inc.",V,317061913109,161.56,168.88,214.17,133.93,29.44,7.95,5.49,1.56,1.92,0.34,0.16,0.89,0.7,0.75,1.21,4.03,1.33,0.83,0.25
Bank of America Corp.,BAC,188536248000,21.6,22.72,35.72,17.95,7.8,0.71,2.77,0.4,1.12,0.1,0.01,0.81,0.68,0.6,1.2,2.43,1.65,0.83,0.41
American Express Co.,AXP,71496681940,88.73,93.29,138.13,67.0,11.08,3.1,8.01,1.0,1.13,0.29,0.03,0.79,0.63,0.64,1.32,2.49,1.56,0.76,0.4
JPMorgan Chase & Co.,JPM,280131797400,91.13,98.12,141.1,76.91,8.48,1.07,10.75,0.56,1.11,0.14,0.01,1.05,0.88,0.65,1.18,2.84,1.55,0.84,0.35
Carnival Corp.,CCL,7591922910,14.41,17.82,56.04,7.9,-1.0,0.3,-1.0,0.23,2.29,0.12,0.07,1.7,0.99,0.26,1.82,0.6,3.89,0.55,1.67
The Boeing Co.,BA,91404612000,162.0,180.55,398.66,89.0,-140.98,-10.61,-1.15,1.05,0.94,0.07,-0.0,1.97,0.95,0.41,1.82,1.05,2.46,0.55,0.96
"Delta Air Lines, Inc.",DAL,18914777700,29.55,31.7,63.44,19.1,4.02,1.23,7.35,0.41,1.31,0.31,0.07,1.18,0.69,0.47,1.55,1.33,2.15,0.65,0.75
"American Airlines Group, Inc.",AAL,5981868360,14.04,15.66,35.24,10.01,3.68,-50.69,3.81,0.45,1.0,-14.29,0.03,1.09,0.69,0.4,1.4,1.11,2.51,0.71,0.9
JetBlue Airways Corp.,JBLU,2751469500,9.75,10.93,21.65,6.61,5.04,0.57,1.93,0.67,1.67,0.12,0.05,0.79,0.6,0.45,1.48,1.3,2.22,0.68,0.77
"Alaska Air Group, Inc.",ALK,3671411310,29.87,32.49,72.22,20.02,4.79,0.85,6.24,0.64,1.45,0.18,0.05,1.08,0.79,0.41,1.49,1.14,2.42,0.67,0.87
"Tesla, Inc.",TSLA,94842326040,514.36,528.16,968.99,176.99,-103.12,14.33,-4.99,1.13,1.31,-0.13,-0.03,0.75,0.66,0.53,2.91,1.3,1.88,0.34,0.77
The Coca-Cola Co.,KO,183800454000,42.81,44.29,60.13,36.27,20.52,9.68,2.09,0.76,1.32,0.47,0.1,0.87,0.6,0.71,1.18,3.59,1.4,0.85,0.28
