Name,Symbol,Mkt Cap,Price,Previous Close,52wk High Price,52wk Low Price,P/B,P/E,PEH,PEL,EPS,Current Ratio,Debt Ratio,ROE,ROA,Vol/30 Avg Vol,Vol/10 Avg Vol,P/H,PE/PEH,P/L,PE/PEL,H/P,PEH/PE,L/P,PEL/PE,P Position,P/E Position
"Alphabet, Inc.",GOOG,799183118545,1162.81,1146.82,1532.11,1013.54,1.97,23.44,31.15,20.61,49.61,3.37,3.71,0.17,0.12,0.83,0.71,0.76,0.75,1.15,1.14,1.32,1.33,0.87,0.88,0.29,0.27
"Amazon.com, Inc.",AMZN,970590113200,1949.72,1963.95,2185.95,1626.03,15.64,83.05,95.0,70.67,23.48,1.1,1.38,0.19,0.05,0.71,0.69,0.89,0.87,1.2,1.18,1.12,1.14,0.83,0.85,0.58,0.51
"Apple, Inc.",AAPL,1112640809200,254.29,254.81,327.85,170.27,12.3,19.94,25.9,13.45,12.75,1.54,1.36,0.61,0.16,0.72,0.72,0.78,0.77,1.49,1.48,1.29,1.3,0.67,0.67,0.53,0.52
"Facebook, Inc.",FB,475455880489,166.8,165.95,224.2,137.1,3.97,25.75,34.81,21.29,6.48,4.4,4.13,0.18,0.14,0.86,0.78,0.74,0.74,1.22,1.21,1.34,1.35,0.82,0.83,0.34,0.33
The Walt Disney Co.,DIS,174405504000,96.6,99.8,153.41,79.07,1.96,15.35,27.59,14.22,6.29,0.75,2.13,0.12,0.06,0.79,0.73,0.63,0.56,1.22,1.08,1.59,1.8,0.82,0.93,0.24,0.08
Archer-Daniels-Midland Co.,ADM,19602577440,35.18,35.83,47.2,28.92,1.02,14.32,17.88,10.95,2.46,1.55,1.78,0.07,0.03,0.85,0.95,0.75,0.8,1.22,1.31,1.34,1.25,0.82,0.76,0.34,0.49
Bunge Ltd.,BG,5820269620,41.03,39.59,59.65,29.0,0.98,-4.39,13.08,6.36,-9.34,1.55,1.54,-0.22,-0.07,1.11,1.0,0.69,-0.34,1.41,-0.69,1.45,-2.98,0.71,-1.45,0.39,-1.6
"Caterpillar, Inc.",CAT,63831631320,116.04,111.71,150.55,87.5,4.38,10.72,13.61,7.91,10.82,1.47,1.23,0.42,0.08,1.34,1.3,0.77,0.79,1.33,1.36,1.3,1.27,0.75,0.74,0.45,0.49
"Visa, Inc.",V,316198411984,161.12,165.57,214.17,133.93,7.93,29.36,38.18,23.87,5.49,1.56,1.92,0.34,0.16,1.17,1.01,0.75,0.77,1.2,1.23,1.33,1.3,0.83,0.81,0.34,0.38
Bank of America Corp.,BAC,185306691900,21.23,22.04,35.72,17.95,0.7,7.67,13.04,6.55,2.77,0.4,1.12,0.1,0.01,0.79,0.74,0.59,0.59,1.18,1.17,1.68,1.7,0.85,0.85,0.18,0.17
American Express Co.,AXP,68982654580,85.61,90.27,138.13,67.0,2.99,10.69,17.31,8.4,8.01,1.0,1.13,0.29,0.03,0.64,0.62,0.62,0.62,1.28,1.27,1.61,1.62,0.78,0.79,0.26,0.26
JPMorgan Chase & Co.,JPM,276750419400,90.03,93.5,141.1,76.91,1.06,8.38,13.16,7.17,10.75,0.56,1.11,0.14,0.01,0.79,0.74,0.64,0.64,1.17,1.17,1.57,1.57,0.85,0.86,0.2,0.2
Carnival Corp.,CCL,6949269030,13.17,12.8,56.04,7.9,0.27,-1.0,12.74,1.8,-1.0,0.23,2.29,0.12,0.07,2.41,1.57,0.24,-0.08,1.67,-0.56,4.26,-12.74,0.6,-1.8,0.11,-0.26
The Boeing Co.,BA,84148665640,149.14,152.28,398.66,89.0,-9.77,-129.79,-112.62,-25.14,-1.15,1.05,0.94,0.07,-0.0,1.0,0.59,0.37,1.15,1.68,5.16,2.67,0.87,0.6,0.19,0.19,1.2
"Delta Air Lines, Inc.",DAL,18261881820,28.53,28.67,63.44,19.1,1.19,3.88,8.65,2.61,7.35,0.41,1.31,0.31,0.07,0.75,0.51,0.45,0.45,1.49,1.49,2.22,2.23,0.67,0.67,0.21,0.21
"American Airlines Group, Inc.",AAL,5193659210,12.19,12.25,35.24,10.01,-44.01,3.2,7.18,2.04,3.81,0.45,1.0,-14.29,0.03,0.86,0.65,0.35,0.45,1.22,1.57,2.89,2.24,0.82,0.64,0.09,0.23
JetBlue Airways Corp.,JBLU,2525707900,8.95,8.79,21.65,6.61,0.53,4.63,11.34,3.46,1.93,0.67,1.67,0.12,0.05,0.71,0.61,0.41,0.41,1.35,1.34,2.42,2.45,0.74,0.75,0.16,0.15
"Alaska Air Group, Inc.",ALK,3489994950,28.47,28.33,72.22,20.02,0.81,4.56,11.23,3.11,6.24,0.64,1.45,0.18,0.05,0.75,0.63,0.39,0.41,1.42,1.46,2.54,2.46,0.7,0.68,0.16,0.18
"Tesla, Inc.",TSLA,96619836000,524.0,502.13,968.99,176.99,14.6,-105.05,-48449.5,-8849.5,-4.99,1.13,1.31,-0.13,-0.03,0.93,0.87,0.54,0.0,2.96,0.01,1.85,461.2,0.34,84.24,0.44,-0.22
The Coca-Cola Co.,KO,189982950000,44.25,45.0,60.13,36.27,10.01,21.21,28.5,17.19,2.09,0.76,1.32,0.47,0.1,0.92,0.67,0.74,0.74,1.22,1.23,1.36,1.34,0.82,0.81,0.33,0.36
