Name,Symbol,Mkt Cap,Price,Previous Close,52wk High Price,52wk Low Price,P/B,P/E,PEH,PEL,EPS,Current Ratio,Debt Ratio,ROE,ROA,Vol/30 Avg Vol,Vol/10 Avg Vol,P/H,PE/PEH,P/L,PE/PEL,H/P,PEH/PE,L/P,PEL/PE,P Position,P/E Position
"Alphabet, Inc.",GOOG,760750081343,1106.89,1162.81,1532.11,1013.54,1.87,22.31,31.15,20.61,49.61,3.37,3.71,0.17,0.12,0.78,0.67,0.72,0.72,1.09,1.08,1.38,1.4,0.92,0.92,0.18,0.16
"Amazon.com, Inc.",AMZN,949567596900,1907.49,1949.72,2185.95,1626.03,15.29,81.25,95.0,70.67,23.48,1.1,1.38,0.19,0.05,0.58,0.55,0.87,0.86,1.17,1.15,1.15,1.17,0.85,0.87,0.5,0.43
"Apple, Inc.",AAPL,1054053132000,240.9,254.29,327.85,170.27,11.78,18.89,25.9,13.45,12.75,1.54,1.36,0.61,0.16,0.65,0.64,0.73,0.73,1.41,1.4,1.36,1.37,0.71,0.71,0.45,0.44
"Facebook, Inc.",FB,455588209704,159.83,166.8,224.2,137.1,3.81,24.68,34.81,21.29,6.48,4.4,4.13,0.18,0.14,0.72,0.64,0.71,0.71,1.17,1.16,1.4,1.41,0.86,0.86,0.26,0.25
The Walt Disney Co.,DIS,171372364800,94.92,96.6,153.41,79.07,1.91,15.09,27.59,14.22,6.29,0.75,2.13,0.12,0.06,0.7,0.61,0.62,0.55,1.2,1.06,1.62,1.83,0.83,0.94,0.21,0.06
Archer-Daniels-Midland Co.,ADM,18872634960,33.87,35.18,47.2,28.92,0.99,13.78,17.88,10.95,2.46,1.55,1.78,0.07,0.03,0.78,0.85,0.72,0.77,1.17,1.26,1.39,1.3,0.85,0.79,0.27,0.41
Bunge Ltd.,BG,5442937980,38.37,41.03,59.65,29.0,0.95,-4.11,13.08,6.36,-9.34,1.55,1.54,-0.22,-0.07,1.0,0.87,0.64,-0.31,1.32,-0.65,1.55,-3.18,0.76,-1.55,0.31,-1.56
"Caterpillar, Inc.",CAT,61251742050,111.35,116.04,150.55,87.5,4.17,10.29,13.61,7.91,10.82,1.47,1.23,0.42,0.08,1.05,0.99,0.74,0.76,1.27,1.3,1.35,1.32,0.79,0.77,0.38,0.42
"Visa, Inc.",V,300478766502,153.11,161.12,214.17,133.93,7.61,27.9,38.18,23.87,5.49,1.56,1.92,0.34,0.16,0.72,0.61,0.71,0.73,1.14,1.17,1.4,1.37,0.87,0.86,0.24,0.28
Bank of America Corp.,BAC,172563038100,19.77,21.23,35.72,17.95,0.65,7.14,13.04,6.55,2.77,0.4,1.12,0.1,0.01,0.72,0.65,0.55,0.55,1.1,1.09,1.81,1.83,0.91,0.92,0.1,0.09
American Express Co.,AXP,62721759520,77.84,85.61,138.13,67.0,2.73,9.72,17.31,8.4,8.01,1.0,1.13,0.29,0.03,0.92,0.86,0.56,0.56,1.16,1.16,1.77,1.78,0.86,0.86,0.15,0.15
JPMorgan Chase & Co.,JPM,259320952800,84.36,90.03,141.1,76.91,0.99,7.85,13.16,7.17,10.75,0.56,1.11,0.14,0.01,0.95,0.89,0.6,0.6,1.1,1.09,1.67,1.68,0.91,0.91,0.12,0.11
Carnival Corp.,CCL,4643399200,8.8,13.17,56.04,7.9,0.22,-1.0,12.74,1.8,-1.0,0.23,2.29,0.12,0.07,4.12,2.45,0.16,-0.08,1.11,-0.56,6.37,-12.74,0.9,-1.8,0.02,-0.26
The Boeing Co.,BA,73744338200,130.7,149.14,398.66,89.0,-8.63,-113.74,-112.62,-25.14,-1.15,1.05,0.94,0.07,-0.0,1.56,0.83,0.33,1.01,1.47,4.52,3.05,0.99,0.68,0.22,0.13,1.01
"Delta Air Lines, Inc.",DAL,15279043780,23.87,28.53,63.44,19.1,1.0,3.25,8.65,2.61,7.35,0.41,1.31,0.31,0.07,1.8,1.14,0.38,0.38,1.25,1.25,2.66,2.66,0.8,0.8,0.11,0.11
"American Airlines Group, Inc.",AAL,4552440415,10.68,12.19,35.24,10.01,-37.97,2.8,7.18,2.04,3.81,0.45,1.0,-14.29,0.03,1.16,0.82,0.3,0.39,1.07,1.37,3.3,2.56,0.94,0.73,0.03,0.15
JetBlue Airways Corp.,JBLU,2287247210,8.1,8.95,21.65,6.61,0.47,4.19,11.34,3.46,1.93,0.67,1.67,0.12,0.05,0.59,0.5,0.37,0.37,1.23,1.21,2.67,2.71,0.82,0.83,0.1,0.09
"Alaska Air Group, Inc.",ALK,3230114750,26.35,28.47,72.22,20.02,0.72,4.22,11.23,3.11,6.24,0.64,1.45,0.18,0.05,0.99,0.79,0.36,0.38,1.32,1.36,2.74,2.66,0.76,0.74,0.12,0.14
"Tesla, Inc.",TSLA,88770396270,481.43,524.0,968.99,176.99,13.74,-96.52,-48449.5,-8849.5,-4.99,1.13,1.31,-0.13,-0.03,0.69,0.64,0.5,0.0,2.72,0.01,2.01,501.96,0.37,91.69,0.38,-0.22
The Coca-Cola Co.,KO,180838008000,42.12,44.25,60.13,36.27,9.59,20.19,28.5,17.19,2.09,0.76,1.32,0.47,0.1,0.79,0.58,0.7,0.71,1.16,1.17,1.43,1.41,0.86,0.85,0.25,0.27
