Name,Symbol,Mkt Cap,Price,Previous Close,52wk High Price,52wk Low Price,P/B,P/E,PEH,PEL,EPS,Current Ratio,Debt Ratio,ROE,ROA,Vol/30 Avg Vol,Vol/10 Avg Vol,P Position,P/E Position
Carnival Corp.,CCL,5962546700,11.3,10.21,56.04,7.8,0.21,4.17,13.57,1.89,2.71,0.23,0.44,0.12,0.07,2.49,1.5,0.07,0.2
Royal Caribbean Cruises Ltd.,RCL,7011950000,33.55,29.61,135.32,19.25,0.51,3.74,14.18,2.02,8.97,0.15,0.58,0.15,0.06,2.23,1.74,0.12,0.14
Lockheed Martin Corp.,LMT,100142063040,355.28,367.95,442.53,266.11,33.17,16.08,20.17,12.13,22.09,1.22,0.93,1.99,0.13,0.8,0.85,0.51,0.49
The Boeing Co.,BA,79883117080,141.58,148.77,398.66,89.0,-9.74,-123.21,-112.62,-25.14,-1.15,1.05,1.06,0.07,-0.0,1.67,1.16,0.17,1.12
Southwest Airlines Co.,LUV,16951789920,32.77,30.7,58.83,29.15,1.62,7.65,13.75,6.81,4.28,0.67,0.64,0.23,0.09,1.28,1.38,0.12,0.12
"Delta Air Lines, Inc.",DAL,14242091500,22.25,22.32,63.44,19.1,0.93,3.03,8.65,2.61,7.35,0.41,0.76,0.31,0.07,2.46,1.88,0.07,0.07
"American Airlines Group, Inc.",AAL,4347932095,10.2,9.5,35.24,9.09,-34.3,2.68,7.18,1.85,3.81,0.45,1.0,-14.29,0.03,2.23,1.91,0.04,0.16
"United Airlines Holdings, Inc.",UAL,6068600725,24.48,24.02,96.03,17.8,0.52,2.1,7.94,1.47,11.67,0.55,0.8,0.26,0.05,1.98,1.68,0.09,0.1
JetBlue Airways Corp.,JBLU,2361284785,8.76,7.73,21.65,6.61,0.43,4.53,11.34,3.46,1.93,0.67,0.6,0.12,0.05,1.22,1.3,0.14,0.14
"Alaska Air Group, Inc.",ALK,3558642550,29.03,26.67,72.22,20.02,0.75,4.65,11.23,3.11,6.24,0.64,0.69,0.18,0.05,1.01,0.96,0.17,0.19
Archer-Daniels-Midland Co.,ADM,20048343840,35.98,35.78,47.2,28.92,1.04,14.64,17.88,10.95,2.46,1.55,0.56,0.07,0.03,0.7,0.85,0.39,0.53
Bunge Ltd.,BG,5393289080,38.02,38.27,59.65,29.0,0.92,-4.07,13.08,6.36,-9.34,1.55,0.65,-0.22,-0.07,0.75,0.8,0.29,-1.55
"Caterpillar, Inc.",CAT,67066119360,121.92,120.43,150.55,87.5,4.54,11.27,13.61,7.91,10.82,1.47,0.81,0.42,0.08,1.21,1.27,0.55,0.59
"Visa, Inc.",V,330858306085,168.59,169.44,214.17,133.93,8.33,30.72,38.18,23.87,5.49,1.56,0.52,0.34,0.16,0.86,0.91,0.43,0.48
Bank of America Corp.,BAC,193249654200,22.14,21.39,35.72,17.95,0.71,8.0,13.04,6.55,2.77,0.4,0.89,0.1,0.01,0.79,0.95,0.24,0.22
American Express Co.,AXP,70570037240,87.58,83.87,138.13,67.0,2.93,10.94,17.31,8.4,8.01,1.0,0.88,0.29,0.03,0.85,0.99,0.29,0.29
JPMorgan Chase & Co.,JPM,278625547200,90.64,89.46,141.1,76.91,1.05,8.43,13.16,7.17,10.75,0.56,0.9,0.14,0.01,0.71,0.81,0.21,0.21
"The Goldman Sachs Group, Inc.",GS,57388631460,166.02,158.23,250.46,130.85,0.61,7.82,11.93,6.23,21.22,1.07,0.91,0.09,0.01,0.88,0.98,0.29,0.28
"Apple, Inc.",AAPL,1133993151600,259.17,262.47,327.85,170.27,12.69,20.32,25.9,13.45,12.75,1.54,0.73,0.61,0.16,0.76,0.97,0.56,0.55
"Amazon.com, Inc.",AMZN,1000790131200,2010.2,1997.59,2185.95,1626.03,16.03,85.62,95.0,70.67,23.48,1.1,0.72,0.19,0.05,0.74,0.94,0.69,0.61
"Alphabet, Inc.",GOOG,814440869366,1185.01,1186.92,1532.11,1013.54,2.01,23.89,31.15,20.61,49.61,3.37,0.27,0.17,0.12,0.77,0.83,0.33,0.31
"Facebook, Inc.",FB,481014267581,168.75,165.55,224.2,137.1,3.94,26.05,34.81,21.29,6.48,4.4,0.24,0.18,0.14,1.1,1.21,0.36,0.35
Microsoft Corp.,MSFT,1242904630500,163.41,165.27,190.7,118.1,12.28,28.18,35.31,21.87,5.8,2.53,0.64,0.38,0.14,0.89,0.98,0.62,0.47
"Tesla, Inc.",TSLA,100616467575,545.67,516.24,968.99,176.99,14.38,-109.4,-48449.5,-8849.5,-4.99,1.13,0.76,-0.13,-0.03,0.91,1.01,0.47,-0.22
The Walt Disney Co.,DIS,182782745600,101.24,99.58,153.41,79.07,2.02,16.09,27.59,14.22,6.29,0.75,0.47,0.12,0.06,0.88,1.0,0.3,0.14
"Gilead Sciences, Inc.",GILD,94011023400,74.67,77.73,85.97,60.89,4.34,17.62,12.97,9.18,4.24,3.1,0.63,0.24,0.09,0.77,1.11,0.55,2.23
3M Co.,MMM,83182740600,144.6,140.7,219.75,114.04,8.04,18.26,24.53,12.73,7.92,1.41,0.77,0.45,0.1,0.86,1.05,0.29,0.47
The Coca-Cola Co.,KO,199686034000,46.51,46.67,60.13,36.27,10.56,22.29,28.5,17.19,2.09,0.76,0.76,0.47,0.1,0.74,0.76,0.43,0.45
"NIKE, Inc.",NKE,131067417600,84.16,84.63,105.62,60.0,11.63,30.45,38.97,22.14,2.76,2.1,0.62,0.45,0.17,0.72,0.75,0.53,0.49
"Under Armour, Inc.",UAA,4302287920,9.52,8.99,27.72,7.39,0.79,46.6,81.53,21.74,0.2,1.9,0.56,0.04,0.02,1.16,1.42,0.1,0.42
