price,subway,district,square,livingRoom,drawingRoom,kitchen,bathRoom
31680,1,7,131,2,1,1,1
43436,0,7,132.38,2,2,1,2
52021,0,7,198,3,2,1,3
22202,0,6,134,3,1,1,1
48396,1,1,81,2,1,1,1
52000,0,7,53,1,0,1,1
37672,0,7,73,2,1,1,1
49521,0,7,161.55,3,2,1,2
27917,0,13,48,1,0,1,1
55883,1,1,68,1,0,0,0
31579,0,7,266,4,2,1,3
26250,0,13,48,1,1,1,1
39832,0,7,238,4,2,1,4
91710,1,10,97.7,3,1,1,1
35568,1,2,80.13,1,1,1,1
60607,1,2,59.4,2,1,1,1
39115,1,7,178.96,4,1,1,1
32981,1,8,64.28,1,0,1,1
30189,0,7,111.3,2,1,1,1
33577,1,8,52,1,0,1,1
63228,1,7,308.41,5,2,1,4
29000,0,7,60.69,1,1,1,1
87176,1,1,59.65,1,1,1,1
74999,0,7,210.67,4,2,1,3
52668,1,7,218.35,4,2,1,2
36417,1,7,58.49,1,0,1,0
30189,1,2,53,1,1,1,1
40385,1,8,52,1,0,1,1
85366,1,7,205,3,2,1,2
39378,0,8,159.99,3,2,1,2
33988,1,7,248.62,2,2,1,2
65407,1,1,110.54,3,1,1,1
42165,1,2,56.92,2,1,1,1
51687,1,7,114.15,2,2,1,1
50672,1,6,69.96,3,1,1,2
44436,1,2,47.26,1,1,1,1
29416,1,7,74.11,2,1,1,1
25455,1,2,55,1,0,1,1
24029,0,13,141.5,3,2,1,2
58888,1,7,91.7,2,2,1,1
27195,0,4,40.45,1,1,1,1
22078,0,6,77,2,1,1,1
64151,1,7,53,1,1,1,1
30625,1,5,80,2,1,1,1
103566,1,8,58.9,2,1,1,1
19026,0,6,118,2,2,1,2
49505,0,7,87.87,2,1,1,1
53178,1,2,77.1,3,1,1,1
28784,1,6,83.38,1,1,1,1
32879,0,13,142.95,3,2,1,2
57677,1,7,61.55,1,0,1,1
31240,1,6,60.82,1,1,1,1
20523,0,6,156.41,3,1,1,2
27853,0,6,125.66,3,1,1,2
20625,1,5,96,3,1,1,1
44147,0,13,113.26,3,2,1,2
43149,1,8,151.8,2,1,1,1
61968,1,10,183.16,4,1,1,2
67470,1,8,41.5,1,0,1,1
34992,0,6,98.88,4,1,1,2
26100,0,13,203.07,6,2,1,2
63577,1,7,63.86,1,1,1,1
89665,0,10,71.6,2,1,1,1
29741,1,3,55.48,1,1,1,1
66879,1,10,59.81,1,1,1,1
41667,0,6,48,1,0,1,1
48310,0,2,41.4,1,1,1,1
43772,1,7,193.05,4,2,1,3
43809,1,7,68.48,3,1,1,1
40910,0,7,55,1,0,1,1
44887,0,13,88,3,4,1,3
83582,1,7,46.96,1,0,1,1
33406,0,7,59.87,2,1,1,1
50092,1,7,59.89,2,1,1,1
75333,1,7,67.7,1,2,1,1
24286,1,6,42,1,1,1,1
41728,1,2,69.02,1,1,1,1
22076,1,4,212,4,2,1,1
59761,1,1,75.3,2,1,1,1
35289,0,6,247.39,4,2,1,3
70381,1,7,67.49,2,1,1,2
40000,1,7,60,1,0,1,1
24507,0,6,146.9,3,2,1,2
39608,1,7,51,1,1,1,1
70589,0,10,34,1,1,1,2
30566,1,6,86.7,2,1,1,1
