Jusidiction,2015 Vehicles per Household,2016 Vehicles per Household,,,,,
"Abilene, Texas",1.71,1.69,,,,,
"Akron, Ohio",1.42,1.46,,,,,
"Albuquerque, New Mexico",1.69,1.75,,,,,
"Alexandria, Virginia",1.38,1.34,,,,,
"Allentown, Pennsylvania",1.31,1.33,,,,,
"Amarillo, Texas",1.73,1.81,,,,,
"Anaheim, California",2.01,2.05,,,,,
"Anchorage, Alaska",1.84,1.95,,,,,
"Ann Arbor, Michigan",1.45,1.44,,,,,
"Antioch, California",2.14,2.24,,,,,
"Arden-Arcade, California",1.53,1.58,,,,,
"Arlington, Texas",1.85,1.89,,,,,
"Arlington, Virginia",1.38,1.4,,,,,
"Arvada, Colorado",2.04,2.07,,,,,
"Athens-Clarke County, Georgia",1.52,1.67,,,,,
"Atlanta, Georgia",1.31,1.28,,,,,
"Augusta-Richmond County, Georgia",1.68,1.69,,,,,
"Aurora, Colorado",1.82,1.85,,,,,
"Aurora, Illinois",1.98,1.94,,,,,
"Austin, Texas",1.65,1.65,,,,,
"Bakersfield, California",1.93,1.92,,,,,
"Baltimore, Maryland",1.08,1.08,,,,,
"Baton Rouge, Louisiana",1.54,1.55,,,,,
"Beaumont, Texas",1.57,1.62,,,,,
"Bellevue, Washington",1.74,1.81,,,,,
"Berkeley, California",1.29,1.23,,,,,
"Billings, Montana",2.05,1.91,,,,,
"Birmingham, Alabama",1.41,1.48,,,,,
"Boise City, Idaho",1.81,1.7,,,,,
"Boston, Massachusetts",0.94,0.94,,,,,
"Boulder, Colorado",1.63,1.72,,,,,
"Brandon, Florida",1.75,1.69,,,,,
"Bridgeport, Connecticut",1.37,1.42,,,,,
"Broken Arrow, Oklahoma",2.03,2,,,,,
"Brownsville, Texas",1.73,1.73,,,,,
"Buffalo, New York",1.03,1.08,,,,,
"Burbank, California",1.65,1.71,,,,,
"Cambridge, Massachusetts",0.9,0.86,,,,,
"Cape Coral, Florida",1.72,1.78,,,,,
"Carlsbad, California",1.99,2.01,,,,,
"Carrollton, Texas",1.91,1.91,,,,,
"Cary, North Carolina",1.94,1.89,,,,,
"Cedar Rapids, Iowa",1.72,1.75,,,,,
"Centennial, Colorado",2.1,2.15,,,,,
"Chandler, Arizona",1.82,1.85,,,,,
"Charleston, South Carolina",1.64,1.55,,,,,
"Charlotte, North Carolina",1.65,1.71,,,,,
"Chattanooga, Tennessee",1.53,1.54,,,,,
"Chesapeake, Virginia",2.02,1.99,,,,,
"Chicago, Illinois",1.11,1.12,,,,,
"Chula Vista, California",1.99,2.01,,,,,
"Cincinnati, Ohio",1.27,1.3,,,,,
"Clarksville, Tennessee",1.78,1.84,,,,,
"Clearwater, Florida",1.49,1.45,,,,,
"Cleveland, Ohio",1.15,1.19,,,,,
"Clovis, California",1.92,1.98,,,,,
"College Station, Texas",1.78,1.86,,,,,
"Colorado Springs, Colorado",1.8,1.85,,,,,
"Columbia, Maryland",1.72,1.81,,,,,
"Columbia, Missouri",1.66,1.68,,,,,
"Columbia, South Carolina",1.47,1.55,,,,,
"Columbus, Georgia",1.52,1.68,,,,,
"Columbus, Ohio",1.54,1.55,,,,,
"Concord, California",1.94,1.86,,,,,
"Coral Springs, Florida",1.88,1.81,,,,,
"Corona, California",2.17,2.29,,,,,
"Corpus Christi, Texas",1.75,1.77,,,,,
"Costa Mesa, California",1.79,2,,,,,
"Dallas, Texas",1.56,1.59,,,,,
"Daly City, California",1.96,1.95,,,,,
"Davenport, Iowa",1.7,1.66,,,,,
"Davie, Florida",1.81,1.9,,,,,
"Dayton, Ohio",1.32,1.39,,,,,
"Denton, Texas",1.78,1.8,,,,,
"Denver, Colorado",1.58,1.62,,,,,
"Des Moines, Iowa",1.7,1.71,,,,,
"Detroit, Michigan",1.13,1.15,,,,,
"Downey, California",2.11,2.19,,,,,
"Durham, North Carolina",1.56,1.63,,,,,
"East Los Angeles, California",1.6,1.75,,,,,
"El Cajon, California",1.67,1.73,,,,,
"El Monte, California",1.83,2.05,,,,,
"El Paso, Texas",1.79,1.82,,,,,
"Elgin, Illinois",1.85,1.95,,,,,
"Elizabeth, New Jersey",1.08,1.17,,,,,
"Elk Grove, California",2.16,2.21,,,,,
"Enterprise, Nevada",1.87,1.85,,,,,
"Escondido, California",1.88,1.95,,,,,
"Eugene, Oregon",1.54,1.64,,,,,
"Evansville, Indiana",1.54,1.48,,,,,
"Everett, Washington",1.64,1.65,,,,,
"Fairfield, California",2.03,2.01,,,,,
"Fargo, North Dakota",1.66,1.67,,,,,
"Fayetteville, North Carolina",1.65,1.64,,,,,
"Fontana, California",2.37,2.27,,,,,
"Fort Collins, Colorado",1.89,1.86,,,,,
"Fort Lauderdale, Florida",1.45,1.49,,,,,
"Fort Wayne, Indiana",1.65,1.69,,,,,
"Fort Worth, Texas",1.8,1.83,,,,,
"Fremont, California",2.1,2.12,,,,,
"Fresno, California",1.64,1.63,,,,,
"Frisco, Texas",2.05,2,,,,,
"Fullerton, California",1.96,2.02,,,,,
"Gainesville, Florida",1.48,1.44,,,,,
"Garden Grove, California",2.23,2.19,,,,,
"Garland, Texas",1.99,2.04,,,,,
"Gilbert, Arizona",2.04,2.08,,,,,
"Glendale, Arizona",1.66,1.72,,,,,
"Glendale, California",1.65,1.67,,,,,
"Grand Prairie, Texas",2.03,2.03,,,,,
"Grand Rapids, Michigan",1.51,1.56,,,,,
"Greeley, Colorado",1.92,1.92,,,,,
"Green Bay, Wisconsin",1.61,1.66,,,,,
"Greensboro, North Carolina",1.64,1.61,,,,,
"Gresham, Oregon",1.68,1.87,,,,,
"Hampton, Virginia",1.75,1.69,,,,,
"Hartford, Connecticut",1,0.99,,,,,
"Hayward, California",2.08,2.12,,,,,
"Henderson, Nevada",1.79,1.74,,,,,
"Hialeah, Florida",1.53,1.58,,,,,
"High Point, North Carolina",1.65,1.66,,,,,
"Highlands Ranch, Colorado",2.07,2.04,,,,,
"Hillsboro, Oregon",1.7,1.86,,,,,
"Hollywood, Florida",1.52,1.53,,,,,
"Honolulu, Hawaii",1.4,1.4,,,,,
"Houston, Texas",1.58,1.59,,,,,
"Huntington Beach, California",1.98,1.99,,,,,
"Huntsville, Alabama",1.68,1.7,,,,,
"Independence, Missouri",1.7,1.7,,,,,
"Indianapolis, Indiana",1.54,1.63,,,,,
"Inglewood, California",1.63,1.69,,,,,
"Irvine, California",1.77,1.83,,,,,
"Irving, Texas",1.72,1.75,,,,,
"Jackson, Mississippi",1.6,1.68,,,,,
