Region Name,Uncertainty bounds*,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Sub-Saharan Africa,Median,180.4,178.9,177.3,175.7,175.1,172.2,168.9,166.1,162.8,158.3,153.6,148.5,143,137.4,131.7,126.2,120.8,115.5,110.4,105.4,100.8,96.3,92,88.2,84.7,81.4,78.3,75.5
West and Central Africa,Median,198.5,196.9,195.4,193.9,192.1,190,187.5,184.3,180.7,176.5,171.8,166.8,161.4,155.9,150.3,144.7,139.2,133.8,128.6,123.6,118.7,114.1,109.7,105.7,101.8,98.1,94.5,91.2
Eastern and Southern Africa,Median,163.9,162.2,160.5,158.9,159.1,155.5,151.5,148.9,145.8,141,136.2,130.8,125.2,119.3,113.6,107.9,102.5,97.2,92.1,87.1,82.7,78.1,73.9,70.2,67,64.1,61.4,59.1
Middle East and North Africa,Median,65.3,62.6,60.1,57.6,55.3,52.9,50.7,48.5,46.5,44.4,42.5,40.6,38.8,37.1,35.5,33.9,32.4,31,29.7,28.5,27.5,26.6,26,25.3,24.7,24.1,23.5,23
South Asia,Median,129.4,125.8,122.2,118.7,115.3,111.8,108.2,104.6,101,97.4,93.8,90.2,86.8,83.5,80.4,77.2,74.1,71.1,68.2,65.3,62.5,59.7,57,54.3,51.7,49.3,46.9,44.8
East Asia and Pacific,Median,56.8,55.6,54.2,52.6,50.9,49.1,47.4,45.6,43.7,41.8,39.7,37.6,35.4,33.2,32.1,29.3,27.5,25.9,25.2,23.2,21.9,20.8,19.7,18.8,17.9,17.1,16.4,15.8
Latin America and Caribbean,Median,54.8,52.5,50.1,47.7,45.4,43.1,40.9,38.8,37.1,35,33,31.3,29.7,28.2,26.9,25.7,24.6,23.5,22.6,21.8,24.4,20.3,19.7,19.2,18.7,18.3,18.3,17.7
North America,Median,11,10.6,10.3,9.9,9.6,9.2,9,8.7,8.6,8.4,8.3,8.2,8.1,8,7.9,7.8,7.7,7.6,7.5,7.3,7.2,7.1,6.9,6.8,6.7,6.7,6.6,6.5
Europe and Central Asia,Median,30.9,30.2,29.7,29.1,28.4,27.6,26.5,25.4,24.2,22.9,21.7,20.4,19.3,18.1,17.1,16.1,15.3,14.5,13.7,13.1,12.5,11.9,11.4,10.9,10.4,9.9,9.4,9
Eastern Europe and Central Asia,Median,46.6,46.2,46.1,46,45.6,44.7,43.5,41.9,40.1,38.1,36,33.9,31.8,29.8,27.9,26.1,24.5,23,21.6,20.4,19.3,18.3,17.3,16.4,15.5,14.7,13.8,13.1
Western Europe,Median,10.5,10,9.5,9,8.5,8,7.5,7.1,6.7,6.4,6.2,6,5.8,5.6,5.4,5.2,5.1,4.9,4.8,4.6,4.5,4.3,4.2,4.1,4.1,4,4,3.9
World,Median,93.2,92,90.8,89.6,88.6,87.1,85.4,83.7,81.8,79.5,77.1,74.5,71.7,69,66.5,63.5,60.9,58.3,56,53.5,51.5,49.1,47.1,45.2,43.5,41.9,40.5,39.1
